◇ injected env (2) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
[2026-07-20 00:00:01] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: weekly_reset | Pts: 0 | Debt: 0 | ID: 0.36960382393349056 | Cancelled: false
[2026-07-20 00:00:01] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: weekly_reset | Pts: 0 | Debt: -25 | ID: 0.5254955326206051 | Cancelled: false
[2026-07-20 04:59:08] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: gm_1 | Pts: 0 | Debt: 0 | ID: 0.22250695251785713 | Cancelled: false
[2026-07-20 06:00:19] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gm_1 | Pts: 15 | Debt: 0 | ID: 0.6128721165063797 | Cancelled: false
[2026-07-20 06:49:28] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ma_3 | Pts: -1 | Debt: 0 | ID: 0.6102898855201143 | Cancelled: true
[2026-07-20 06:49:36] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_2 | Pts: -1 | Debt: 0 | ID: 0.9721031656700594 | Cancelled: true
[2026-07-20 06:49:44] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_2 | Pts: -1 | Debt: 0 | ID: 0.7478476371240648 | Cancelled: true
[2026-07-20 07:00:13] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_3 | Pts: 3 | Debt: 0 | ID: 0.03855738794598429 | Cancelled: true
[2026-07-20 07:08:05] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_2 | Pts: 3 | Debt: 0 | ID: 0.020579586601137123 | Cancelled: true
[2026-07-20 07:12:21] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_2 | Pts: 3 | Debt: 0 | ID: 0.45811778370517287 | Cancelled: false
[2026-07-20 07:12:31] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ma_3 | Pts: -1 | Debt: 0 | ID: 0.8684205196791333 | Cancelled: true
[2026-07-20 07:12:34] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_2 | Pts: -1 | Debt: 0 | ID: 0.9121422956203906 | Cancelled: false
[2026-07-20 07:12:34] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_2 | Pts: -1 | Debt: 0 | ID: 0.47952539663595817 | Cancelled: false
